joka_url	joks_radits	updated_at	ikonas_url
https://api.chucknorris.io/jokes/uhcflvv3qfatx2ku9npdrg	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/poqerqlpqz2en3hacikbjw	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/zhh3ckdztwcincr40fmgpq	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/elgv2wkvt8ioag6xywykbq	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/nwklry_-spcowdv1lhuwsw	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/iy5n_afwrrqrj9wb6n21ww	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/63pymsysqiexzldn5-wdzq	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/lkor-8baqmcjoftr-am_qw	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/koujbr9ms0ejs7-_mub34q	2020-01-05 13:42:18.823766	2020-01-05 13:42:18.823766	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/cvwhdzuoryulqbyermgdxw	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/urzvrrpnttmipfzzpkvblq	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/nsle0zt-sis8fnwkrytwma	2020-01-05 13:42:19.104863	2020-01-05 13:42:19.104863	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/jqgu04prsomr9uiwbyzebq	2020-01-05 13:42:19.104863	2020-01-05 13:42:19.104863	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/hlsa0rurqwyqanmszx0miq	2020-01-05 13:42:19.104863	2020-01-05 13:42:19.104863	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/41rkit60rnklc8w7fox1cq	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/espieyuysgeopdhgcdrmjw	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/wsihtcmyrnkptsnr_b4ygg	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/p4tviyvmrbkcjbqsydybuq	2020-01-05 13:42:19.324003	2020-01-05 13:42:19.324003	https://api.chucknorris.io/img/avatar/chuck-norris.png
https://api.chucknorris.io/jokes/wlmypgkkrlgjguoyhc2e0q	2020-01-05 13:42:19.576875	2020-01-05 13:42:19.576875	https://api.chucknorris.io/img/avatar/chuck-norris.png
